"Year","COUNTYFIPS","COUNTYNAME","weighted_agi_stub","designatedArea","count"
2018,37,"Los Angeles County",4.40813175501801,"Los Angeles (County)",5
2018,39,"Madera County",4.16918429003021,NA,NA
2018,41,"Marin County",5.37506627281678,NA,NA
2018,43,"Mariposa County",4.3218085106383,NA,NA
2018,45,"Mendocino County",4.21567635903919,"Mendocino (County)",3
2018,47,"Merced County",4.10529258292956,NA,NA
2018,49,"Modoc County",4.05899705014749,NA,NA
2018,51,"Mono County",4.4595015576324,NA,NA
2018,53,"Monterey County",4.46136282916434,NA,NA
2018,55,"Napa County",4.84797198716078,"Napa (County)",4
2018,57,"Nevada County",4.57844311377246,"Nevada (County)",2
2018,59,"Orange County",4.69475737561122,"Orange (County)",2
2018,61,"Placer County",5.02528357892505,NA,NA
2018,63,"Plumas County",4.42022471910112,NA,NA
2018,65,"Riverside County",4.36726762703445,"Riverside (County)",4
2018,67,"Sacramento County",4.53143260409315,NA,NA
2018,69,"San Benito County",4.72550358484124,NA,NA
2018,71,"San Bernardino Count",4.25488173152357,NA,NA
2018,73,"San Diego County",4.64658780254359,"San Diego (County)",4
2018,75,"San Francisco County",5.29568078809578,NA,NA
2018,77,"San Joaquin County",4.42143892435316,NA,NA
2018,79,"San Luis Obispo Coun",4.71142922063167,NA,NA
2018,81,"San Mateo County",5.31878378032224,NA,NA
2018,83,"Santa Barbara County",4.56017191977077,"Santa Barbara (County)",4
2018,85,"Santa Clara County",5.32738426619845,NA,NA
2018,87,"Santa Cruz County",4.74280892843446,NA,NA
2018,89,"Shasta County",4.32818532818533,"Shasta (County)",4
2018,91,"Sierra County",4.35714285714286,NA,NA
2018,93,"Siskiyou County",4.10490605427975,"Siskiyou (County)",1
2018,95,"Solano County",4.71891739498167,"Solano (County)",2
2018,97,"Sonoma County",4.76978563860135,"Sonoma (County)",4
2018,99,"Stanislaus County",4.31143436785082,NA,NA
2018,101,"Sutter County",4.31545893719807,NA,NA
2018,103,"Tehama County",4.16136450747413,NA,NA
2018,105,"Trinity County",4.04279279279279,"Trinity (County)",1
2018,107,"Tulare County",4.0635565312843,NA,NA
2018,109,"Tuolumne County",4.46059113300493,NA,NA
2018,111,"Ventura County",4.68710432319251,"Ventura (County)",3
2018,113,"Yolo County",4.67581456374371,NA,NA
2018,115,"Yuba County",4.23397331597787,"Yuba (County)",2
2019,1,"Alameda County",5.1000817296976,NA,NA
2019,3,"Alpine County",4.29411764705882,NA,NA
2019,5,"Amador County",4.5759249033683,"Amador (County)",1
2019,7,"Butte County",4.32611832611833,"Butte (County)",4
2019,9,"Calaveras County",4.57183098591549,"Calaveras (County)",1
2019,11,"Colusa County",4.28334956183057,"Colusa (County)",2
2019,13,"Contra Costa County",5.09709564168942,NA,NA
2019,15,"Del Norte County",4.13986679352997,"Del Norte (County)",1
2019,17,"El Dorado County",4.91242578456319,"El Dorado (County)",1
2019,19,"Fresno County",4.19242820458454,NA,NA
2019,21,"Glenn County",4.21456538762725,"Glenn (County)",1
2019,23,"Humboldt County",4.18862575050033,"Humboldt (County)",1
2019,25,"Imperial County",3.87614413161858,NA,NA
2019,27,"Inyo County",4.47152619589977,NA,NA
2019,29,"Kern County",4.22495012192419,"Kern (County)",1
2019,31,"Kings County",4.18711551606288,NA,NA
2019,33,"Lake County",4.14445271779598,"Lake (County)",1
2019,35,"Lassen County",4.44276253547777,NA,NA
2019,37,"Los Angeles County",4.42497237844957,"Los Angeles (County)",3
2019,39,"Madera County",4.16902079035074,NA,NA
2019,41,"Marin County",5.39695869269178,"Marin (County)",2
2019,43,"Mariposa County",4.33333333333333,"Mariposa (County)",2
2019,45,"Mendocino County",4.236646884273,"Mendocino (County)",2
2019,47,"Merced County",4.12565584704313,NA,NA
2019,49,"Modoc County",4.03116147308782,"Modoc (County)",1
2019,51,"Mono County",4.47935103244838,NA,NA
2019,53,"Monterey County",4.47949417307215,"Monterey (County)",1
2019,55,"Napa County",4.87890173410405,"Napa (County)",2
2019,57,"Nevada County",4.60007698229407,NA,NA
2019,59,"Orange County",4.70857234314981,NA,NA
2019,61,"Placer County",5.0476803460172,NA,NA
2019,63,"Plumas County",4.4054347826087,NA,NA
2019,65,"Riverside County",4.36748578391552,"Riverside (County)",1
2019,67,"Sacramento County",4.54934769892122,NA,NA
2019,69,"San Benito County",4.7610533159948,NA,NA
2019,71,"San Bernardino Count",4.26305239460943,"San Bernardino (County)",1
2019,73,"San Diego County",4.66013298114582,NA,NA
2019,75,"San Francisco County",5.33130397236615,NA,NA
2019,77,"San Joaquin County",4.44099140350359,NA,NA
2019,79,"San Luis Obispo Coun",4.72969374167776,NA,NA
2019,81,"San Mateo County",5.36277667551341,NA,NA
2019,83,"Santa Barbara County",4.57875969739315,"Santa Barbara (County)",1
2019,85,"Santa Clara County",5.36274843959696,NA,NA
2019,87,"Santa Cruz County",4.76819836214741,NA,NA
2019,89,"Shasta County",4.33196312904833,"Shasta (County)",1
2019,91,"Sierra County",4.39230769230769,NA,NA
2019,93,"Siskiyou County",4.10603754439371,NA,NA
2019,95,"Solano County",4.73009557781131,NA,NA
2019,97,"Sonoma County",4.80337935463156,"Sonoma (County)",1
2019,99,"Stanislaus County",4.3263025737602,NA,NA
2019,101,"Sutter County",4.32171268132897,NA,NA
2019,103,"Tehama County",4.18447694038245,"Tehama (County)",1
2019,105,"Trinity County",4.04967602591793,"Trinity (County)",2
2019,107,"Tulare County",4.07656503320956,NA,NA
2019,109,"Tuolumne County",4.45640819606268,"Tuolumne (County)",1
2019,111,"Ventura County",4.70273975897818,"Ventura (County)",4
2019,113,"Yolo County",4.69246370623399,"Yolo (County)",1
2019,115,"Yuba County",4.2674490426189,NA,NA
2020,1,"Alameda County",5.03999902619535,"Alameda (County)",2
2020,3,"Alpine County",4.43396226415094,"Alpine (County)",2
2020,5,"Amador County",4.24105011933174,"Amador (County)",2
2020,7,"Butte County",4.25118533347382,"Butte (County)",4
2020,9,"Calaveras County",4.54886211512718,"Calaveras (County)",2
2020,11,"Colusa County",4.29824561403509,"Colusa (County)",2
2020,13,"Contra Costa County",5.01708667102142,"Contra Costa (County)",2
2020,15,"Del Norte County",3.84754098360656,"Del Norte (County)",2
2020,17,"El Dorado County",4.88878667075539,"El Dorado (County)",2
2020,19,"Fresno County",4.1211351949489,"Fresno (County)",3
2020,21,"Glenn County",4.18649045521292,"Glenn (County)",2
2020,23,"Humboldt County",4.15510204081633,"Humboldt (County)",2
2020,25,"Imperial County",3.74562391237588,"Imperial (County)",2
2020,27,"Inyo County",4.45222222222222,"Inyo (County)",2
2020,29,"Kern County",4.09528098884051,"Kern (County)",2
2020,31,"Kings County",3.93115674397991,"Kings (County)",2
2020,33,"Lake County",4.05368203716449,"Lake (County)",4
2020,35,"Lassen County",3.8203414996288,"Lassen (County)",4
2020,37,"Los Angeles County",4.33941650111462,"Los Angeles (County)",6
2020,39,"Madera County",3.98927427218276,"Madera (County)",3
2020,41,"Marin County",5.25947586615339,"Marin (County)",2
2020,43,"Mariposa County",4.25217391304348,"Mariposa (County)",2
2020,45,"Mendocino County",4.1571066574522,"Mendocino (County)",3
